"constituency","Party","election","Classification","Median_Age","Total_Rural_Population","Total_Urban_Population","Higher_Managerial","Lower_Managerial","Intermediate_Occupations","Small_Employers","Lower_Supervisory","Semi_Routine","Routine_Occupations","Never_Worked_Unemployed","Never_Worked","Long_Term_Unemployed","Total_Students_Count","yearly_avg_tavg","yearly_avg_tmin","yearly_avg_tmax","yearly_avg_prcp","yearly_avg_wspd","yearly_avg_pres","yearly_avg_tsun","Election","country.region","con_share","lib_share","lab_share","oth_share","environment","Flood Alert","Flood Warning","Update Flood Alert","Update Flood Warning","Severe Flood Warning","Update Severe Flood Warning","Flood Watch"
"beaconsfield"," Conservative Party","2010","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2010 General Election","South East",0.611,0.196,0.117,0.077,2,220,0,0,0,0,0,9460
"beaconsfield"," UK Independence Party","2010","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2010 General Election","South East",0.611,0.196,0.117,0.077,0,220,0,0,0,0,0,9460
"beaconsfield"," Conservative Party","2010","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2010 General Election","South East",0.611,0.196,0.117,0.077,6,220,0,0,0,0,0,9460
"beaconsfield"," Liberal Democrats","2010","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2010 General Election","South East",0.611,0.196,0.117,0.077,2,220,0,0,0,0,0,9460
"beaconsfield"," Liberal Democrats","2017","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2017 General Election","South East",0.653,0.079,0.214,0.054,0,68036,3410,1284,330,0,0,0
"beaconsfield"," UK Independence Party","2017","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2017 General Election","South East",0.653,0.079,0.214,0.054,3,68036,3410,1284,330,0,0,0
"beaconsfield"," Conservative Party","2019","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2019 General Election","South East",0.561,NA,0.099,0.339,6,105960,7556,8088,312,0,0,0
"beaconsfield"," Labour Party","2019","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2019 General Election","South East",0.561,NA,0.099,0.339,4,105960,7556,8088,312,0,0,0
"beaconsfield"," Conservative Party","2019","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2019 General Election","South East",0.561,NA,0.099,0.339,0,105960,7556,8088,312,0,0,0
"beaconsfield"," Conservative Party","2019","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2019 General Election","South East",0.561,NA,0.099,0.339,2,105960,7556,8088,312,0,0,0
"beaconsfield"," UK Independence Party","2015","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2015 General Election","South East",0.632,0.074,0.114,0.179,1,58520,19470,0,4400,1650,0,0
"beaconsfield"," Conservative Party","2015","Urban with Significant Rural",43,22058,77329,12455,19538,9479,8433,3757,6490,4439,1889,1235,654,2262,10.8833333333333,7.04166666666667,14.6416666666667,57.4166666666667,13.9375,1013.61666666667,7185,"2015 General Election","South East",0.632,0.074,0.114,0.179,4,58520,19470,0,4400,1650,0,0
"bristol west"," Labour Party","2010","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2010 General Election","South West",0.184,0.48,0.275,0.061,6,0,27048,0,0,294,0,94668
"bristol west"," Liberal Democrats","2010","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2010 General Election","South West",0.184,0.48,0.275,0.061,0,0,27048,0,0,294,0,94668
"bristol west"," Liberal Democrats","2010","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2010 General Election","South West",0.184,0.48,0.275,0.061,1,0,27048,0,0,294,0,94668
"bristol west"," Green Party","2010","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2010 General Election","South West",0.184,0.48,0.275,0.061,22,0,27048,0,0,294,0,94668
"bristol west"," Conservative Party","2010","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2010 General Election","South West",0.184,0.48,0.275,0.061,4,0,27048,0,0,294,0,94668
"bristol west"," Liberal Democrats","2010","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2010 General Election","South West",0.184,0.48,0.275,0.061,3,0,27048,0,0,294,0,94668
"bristol west"," Liberal Democrats","2010","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2010 General Election","South West",0.184,0.48,0.275,0.061,4,0,27048,0,0,294,0,94668
"bristol west"," Labour Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,1,987840,438648,0,95256,22344,0,0
"bristol west"," Green Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,16,987840,438648,0,95256,22344,0,0
"bristol west"," Labour Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,0,987840,438648,0,95256,22344,0,0
"bristol west"," Labour Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,5,987840,438648,0,95256,22344,0,0
"bristol west"," Liberal Democrats","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,0,987840,438648,0,95256,22344,0,0
"bristol west"," Green Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,10,987840,438648,0,95256,22344,0,0
"bristol west"," Liberal Democrats","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,2,987840,438648,0,95256,22344,0,0
"bristol west"," Liberal Democrats","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,6,987840,438648,0,95256,22344,0,0
"bristol west"," Liberal Democrats","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,17,987840,438648,0,95256,22344,0,0
"bristol west"," Green Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,11,987840,438648,0,95256,22344,0,0
"bristol west"," Green Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,14,987840,438648,0,95256,22344,0,0
"bristol west"," Green Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,15,987840,438648,0,95256,22344,0,0
"bristol west"," Green Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,13,987840,438648,0,95256,22344,0,0
"bristol west"," Labour Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,9,987840,438648,0,95256,22344,0,0
"bristol west"," Green Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,12,987840,438648,0,95256,22344,0,0
"bristol west"," Labour Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,2,987840,438648,0,95256,22344,0,0
"bristol west"," UK Independence Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,0,987840,438648,0,95256,22344,0,0
"bristol west"," Conservative Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,0,987840,438648,0,95256,22344,0,0
"bristol west"," Liberal Democrats","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,7,987840,438648,0,95256,22344,0,0
"bristol west"," Liberal Democrats","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,11,987840,438648,0,95256,22344,0,0
"bristol west"," Liberal Democrats","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,13,987840,438648,0,95256,22344,0,0
"bristol west"," Liberal Democrats","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,1,987840,438648,0,95256,22344,0,0
"bristol west"," Green Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,25,987840,438648,0,95256,22344,0,0
"bristol west"," Green Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,8,987840,438648,0,95256,22344,0,0
"bristol west"," Liberal Democrats","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,5,987840,438648,0,95256,22344,0,0
"bristol west"," Green Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,6,987840,438648,0,95256,22344,0,0
"bristol west"," Conservative Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,3,987840,438648,0,95256,22344,0,0
"bristol west"," Green Party","2015","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2015 General Election","South West",0.152,0.188,0.357,0.303,23,987840,438648,0,95256,22344,0,0
"bristol west"," Liberal Democrats","2017","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2017 General Election","South West",0.138,0.073,0.659,0.13,0,295260,97440,13440,7140,0,0,0
"bristol west"," Labour Party","2017","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2017 General Election","South West",0.138,0.073,0.659,0.13,4,295260,97440,13440,7140,0,0,0
"bristol west"," Labour Party","2017","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2017 General Election","South West",0.138,0.073,0.659,0.13,3,295260,97440,13440,7140,0,0,0
"bristol west"," Green Party","2017","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2017 General Election","South West",0.138,0.073,0.659,0.13,6,295260,97440,13440,7140,0,0,0
"bristol west"," Green Party","2017","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2017 General Election","South West",0.138,0.073,0.659,0.13,10,295260,97440,13440,7140,0,0,0
"bristol west"," Labour Party","2017","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2017 General Election","South West",0.138,0.073,0.659,0.13,7,295260,97440,13440,7140,0,0,0
"bristol west"," Green Party","2017","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2017 General Election","South West",0.138,0.073,0.659,0.13,21,295260,97440,13440,7140,0,0,0
"bristol west"," Green Party","2017","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2017 General Election","South West",0.138,0.073,0.659,0.13,4,295260,97440,13440,7140,0,0,0
"bristol west"," Green Party","2017","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2017 General Election","South West",0.138,0.073,0.659,0.13,13,295260,97440,13440,7140,0,0,0
"bristol west"," Conservative Party","2017","Predominantly Urban",28,0,124692,17466,21894,8352,6009,3682,8017,5925,5162,3693,1469,22715,9.56666666666667,5.94166666666667,13.0666666666667,63.8333333333333,14.5,1013.90833333333,8520,"2017 General Election","South West",0.138,0.073,0.659,0.13,1,295260,97440,13440,7140,0,0,0
"blackburn"," Conservative Party","2010","Predominantly Urban",33,446,106800,4396,10326,8378,5881,5404,12337,11225,9572,7811,1761,4179,9.24166666666667,6.23333333333333,11.5833333333333,NA,17.84,1014.275,NA,"2010 General Election","North West",0.261,0.152,0.478,0.108,0,NA,NA,NA,NA,NA,NA,NA
"blackburn"," Labour Party","2010","Predominantly Urban",33,446,106800,4396,10326,8378,5881,5404,12337,11225,9572,7811,1761,4179,9.24166666666667,6.23333333333333,11.5833333333333,NA,17.84,1014.275,NA,"2010 General Election","North West",0.261,0.152,0.478,0.108,1,NA,NA,NA,NA,NA,NA,NA
"blackburn"," Conservative Party","2010","Predominantly Urban",33,446,106800,4396,10326,8378,5881,5404,12337,11225,9572,7811,1761,4179,9.24166666666667,6.23333333333333,11.5833333333333,NA,17.84,1014.275,NA,"2010 General Election","North West",0.261,0.152,0.478,0.108,1,NA,NA,NA,NA,NA,NA,NA
"blackburn"," Liberal Democrats","2010","Predominantly Urban",33,446,106800,4396,10326,8378,5881,5404,12337,11225,9572,7811,1761,4179,9.24166666666667,6.23333333333333,11.5833333333333,NA,17.84,1014.275,NA,"2010 General Election","North West",0.261,0.152,0.478,0.108,0,NA,NA,NA,NA,NA,NA,NA
"blackburn"," Labour Party","2010","Predominantly Urban",33,446,106800,4396,10326,8378,5881,5404,12337,11225,9572,7811,1761,4179,9.24166666666667,6.23333333333333,11.5833333333333,NA,17.84,1014.275,NA,"2010 General Election","North West",0.261,0.152,0.478,0.108,3,NA,NA,NA,NA,NA,NA,NA
"blackburn"," Labour Party","2015","Predominantly Urban",33,446,106800,4396,10326,8378,5881,5404,12337,11225,9572,7811,1761,4179,9.24166666666667,6.23333333333333,11.5833333333333,NA,17.84,1014.275,NA,"2015 General Election","North West",0.273,0.022,0.563,0.143,0,NA,NA,NA,NA,NA,NA,NA
"blackburn"," Conservative Party","2015","Predominantly Urban",33,446,106800,4396,10326,8378,5881,5404,12337,11225,9572,7811,1761,4179,9.24166666666667,6.23333333333333,11.5833333333333,NA,17.84,1014.275,NA,"2015 General Election","North West",0.273,0.022,0.563,0.143,4,NA,NA,NA,NA,NA,NA,NA
"blackburn"," Conservative Party","2015","Predominantly Urban",33,446,106800,4396,10326,8378,5881,5404,12337,11225,9572,7811,1761,4179,9.24166666666667,6.23333333333333,11.5833333333333,NA,17.84,1014.275,NA,"2015 General Election","North West",0.273,0.022,0.563,0.143,1,NA,NA,NA,NA,NA,NA,NA
"blackburn"," Conservative Party","2015","Predominantly Urban",33,446,106800,4396,10326,8378,5881,5404,12337,11225,9572,7811,1761,4179,9.24166666666667,6.23333333333333,11.5833333333333,NA,17.84,1014.275,NA,"2015 General Election","North West",0.273,0.022,0.563,0.143,0,NA,NA,NA,NA,NA,NA,NA
"blackburn"," UK Independence Party","2015","Predominantly Urban",33,446,106800,4396,10326,8378,5881,5404,12337,11225,9572,7811,1761,4179,9.24166666666667,6.23333333333333,11.5833333333333,NA,17.84,1014.275,NA,"2015 General Election","North West",0.273,0.022,0.563,0.143,0,NA,NA,NA,NA,NA,NA,NA
"blackburn"," Green Party","2019","Predominantly Urban",33,446,106800,4396,10326,8378,5881,5404,12337,11225,9572,7811,1761,4179,9.24166666666667,6.23333333333333,11.5833333333333,NA,17.84,1014.275,NA,"2019 General Election","North West",0.24,0.025,0.649,0.086,19,19236,4158,4158,462,0,0,0
"bexleyheath and crayford"," Labour Party","2017","Predominantly Urban",39,0,87848,5158,12638,11780,6122,4616,8575,5845,3040,1907,1133,2702,11.8090909090909,8.14545454545454,15.5545454545455,NA,13.39,1019.12222222222,NA,"2017 General Election",NA,NA,NA,NA,NA,0,13386,138,2208,0,0,0,0
"bexleyheath and crayford"," Labour Party","2017","Predominantly Urban",39,0,87848,5158,12638,11780,6122,4616,8575,5845,3040,1907,1133,2702,11.8090909090909,8.14545454545454,15.5545454545455,NA,13.39,1019.12222222222,NA,"2017 General Election",NA,NA,NA,NA,NA,1,13386,138,2208,0,0,0,0
"broxbourne"," Conservative Party","2010","Predominantly Urban",40,5335,93455,6401,14398,11716,8762,4960,9674,7444,3008,1803,1205,2600,11.125,7.5125,14.75,NA,14.08,1015.35,NA,"2010 General Election","Eastern",0.588,0.134,0.176,0.102,4,NA,NA,NA,NA,NA,NA,NA
"broxbourne"," UK Independence Party","2010","Predominantly Urban",40,5335,93455,6401,14398,11716,8762,4960,9674,7444,3008,1803,1205,2600,11.125,7.5125,14.75,NA,14.08,1015.35,NA,"2010 General Election","Eastern",0.588,0.134,0.176,0.102,0,NA,NA,NA,NA,NA,NA,NA
"broxbourne"," Labour Party","2010","Predominantly Urban",40,5335,93455,6401,14398,11716,8762,4960,9674,7444,3008,1803,1205,2600,11.125,7.5125,14.75,NA,14.08,1015.35,NA,"2010 General Election","Eastern",0.588,0.134,0.176,0.102,0,NA,NA,NA,NA,NA,NA,NA
"broxbourne"," Conservative Party","2015","Predominantly Urban",40,5335,93455,6401,14398,11716,8762,4960,9674,7444,3008,1803,1205,2600,11.125,7.5125,14.75,NA,14.08,1015.35,NA,"2015 General Election","Eastern",0.561,0.032,0.184,0.224,12,NA,NA,NA,NA,NA,NA,NA
"broxbourne"," Conservative Party","2015","Predominantly Urban",40,5335,93455,6401,14398,11716,8762,4960,9674,7444,3008,1803,1205,2600,11.125,7.5125,14.75,NA,14.08,1015.35,NA,"2015 General Election","Eastern",0.561,0.032,0.184,0.224,0,NA,NA,NA,NA,NA,NA,NA
"broxbourne"," Labour Party","2015","Predominantly Urban",40,5335,93455,6401,14398,11716,8762,4960,9674,7444,3008,1803,1205,2600,11.125,7.5125,14.75,NA,14.08,1015.35,NA,"2015 General Election","Eastern",0.561,0.032,0.184,0.224,0,NA,NA,NA,NA,NA,NA,NA
"broxbourne"," Conservative Party","2019","Predominantly Urban",40,5335,93455,6401,14398,11716,8762,4960,9674,7444,3008,1803,1205,2600,11.125,7.5125,14.75,NA,14.08,1015.35,NA,"2019 General Election","Eastern",0.656,0.085,0.232,0.027,2,14040,1248,1404,156,0,0,0
"broxbourne"," Liberal Democrats","2019","Predominantly Urban",40,5335,93455,6401,14398,11716,8762,4960,9674,7444,3008,1803,1205,2600,11.125,7.5125,14.75,NA,14.08,1015.35,NA,"2019 General Election","Eastern",0.656,0.085,0.232,0.027,8,14040,1248,1404,156,0,0,0
"blaydon"," Labour Party","2010","Predominantly Urban",43,16063,72218,5492,13574,9654,4601,5289,11137,8457,2833,1799,1034,2089,9.10833333333333,5.33333333333333,12.8083333333333,59.8333333333333,15.1666666666667,1012.30833333333,6800,"2010 General Election","North East",0.159,0.293,0.496,0.051,0,594,8019,0,0,99,0,19998
"blaydon"," Liberal Democrats","2010","Predominantly Urban",43,16063,72218,5492,13574,9654,4601,5289,11137,8457,2833,1799,1034,2089,9.10833333333333,5.33333333333333,12.8083333333333,59.8333333333333,15.1666666666667,1012.30833333333,6800,"2010 General Election","North East",0.159,0.293,0.496,0.051,0,594,8019,0,0,99,0,19998
"blaydon"," Liberal Democrats","2010","Predominantly Urban",43,16063,72218,5492,13574,9654,4601,5289,11137,8457,2833,1799,1034,2089,9.10833333333333,5.33333333333333,12.8083333333333,59.8333333333333,15.1666666666667,1012.30833333333,6800,"2010 General Election","North East",0.159,0.293,0.496,0.051,1,594,8019,0,0,99,0,19998
"blaydon"," UK Independence Party","2015","Predominantly Urban",43,16063,72218,5492,13574,9654,4601,5289,11137,8457,2833,1799,1034,2089,9.10833333333333,5.33333333333333,12.8083333333333,59.8333333333333,15.1666666666667,1012.30833333333,6800,"2015 General Election","North East",0.174,0.122,0.492,0.212,0,5676,2211,0,231,66,0,0
"birkenhead"," Labour Party","2017","Predominantly Urban",39,0,88818,4138,11168,8002,4416,5172,11540,9708,6043,4091,1952,2396,10.8666666666667,7.54166666666667,14.0083333333333,42.7,15.5181818181818,1018.8,NA,"2017 General Election","North West",0.184,0.026,0.769,0.022,1,1587,1035,138,0,0,0,0
"birkenhead"," Green Party","2019","Predominantly Urban",39,0,88818,4138,11168,8002,4416,5172,11540,9708,6043,4091,1952,2396,10.8666666666667,7.54166666666667,14.0083333333333,42.7,15.5181818181818,1018.8,NA,"2019 General Election","North West",0.131,0.038,0.59,0.24,39,44505,32430,27600,5520,345,690,0
"birkenhead"," Green Party","2019","Predominantly Urban",39,0,88818,4138,11168,8002,4416,5172,11540,9708,6043,4091,1952,2396,10.8666666666667,7.54166666666667,14.0083333333333,42.7,15.5181818181818,1018.8,NA,"2019 General Election","North West",0.131,0.038,0.59,0.24,17,44505,32430,27600,5520,345,690,0
"birkenhead"," Green Party","2019","Predominantly Urban",39,0,88818,4138,11168,8002,4416,5172,11540,9708,6043,4091,1952,2396,10.8666666666667,7.54166666666667,14.0083333333333,42.7,15.5181818181818,1018.8,NA,"2019 General Election","North West",0.131,0.038,0.59,0.24,10,44505,32430,27600,5520,345,690,0
